,en,es,fr,zh,de,ja,it,nl,ru,pt,ko,el,ar,he,th,ln,ta,hi,tl,sv,no,tr,fi,fa,da,in,cs,hu,be,uk,am,sw,bg,hr,eo,pl,ro,lesson,lexid
5,a cactus,un cacto,un cactus,仙人掌,ein Kaktus,サボテン (Saboten),un cactus,een cactus,кактус (kaktus),um cacto,선인장,ένας κάκτος,الصبّار,קקטוס,ตะบองเพชร,,கற்றாழை,नागफनी,isang kakto,en kaktus,en kaktus,kaktüs,kaktus,کاکتوس,en kaktus,kaktus,kaktus,kaktusz,кактус,кактус (kaktus),ቁልቓል (qu-le-qhaa-le),mpungate,кактус,kaktus,kakto,Kaktus,un cactus,1020,390
6,a chestnut,un castaño,un châtaignier,栗子,eine Kastanie,栗 (Kuri),un castagno,een kastanjeboom,каштан (kashtan),uma castanha,밤나무,ένα κάστανο,الكستناءة,ערמון,ต้นเกาลัด,castanea,கஷ்கொட்டை,छोटा अखरोट,isang kastanyas,en kastanj,en kastanje,kestane,kastanja,شاه بلوط,en kastanje,pohon berangan,kaštan,gesztenyefa,каштан,каштан (kashtan),,mboza,кестен,kesten,kaŝtanarbo,Kasztanowiec,un castan,1020,460
7,a christmas tree,árbol de navidad,le sapin de Noël,聖誕樹,ein Weihnachtsbaum,クリスマスツリー (Kurisumasutsuri^),un albero di Natale,een kerstboom,новогодняя елка (novogodnjaja elka),uma árvore de natal,크리스마스트리,ένα χριστουγεννιάτικο δέντρο,شجرة عيد الميلادِ,עץ אשוח לחג המולד,ต้นคริสต์มาส,,கிறிஸ்துமஸ் மரம்,क्रिसमस वृक्ष,punongkahoy na pamasko,en julgran,et juletre,noel ağacı,joulukuusi,درخت کریسمس,et juletræ,pohon natal,vánoční stromeček,karácsonyfa,навагодняя ёлка,новорічна ялинка (novorіchna jalynka),የገና ዛፍ (ya-ga-naa zaa-fe),mti wa krisimasi,новогодишна елха,božićno drvce,kristnaska arbo,Choinka,un brad de crăciun,1020,420
8,a daffodil,un narciso,une jonquille,喇叭水仙,eine Narzisse,水仙 (Suisen),una giunchiglia,een narcis,нарцисс (nartsiss),um narciso,수선화,ένας νάρκισσος,النرجس البرّي,נרקיס,แดฟโฟดิล,,பேர் அரளி,डैफोडिल,isang narsiso,en påsklilja,en påskelilje,nergis,narsissi,نرگس زرد,en påskelilje,bunga bakung,narcis,nárcisz,нарцыс,нарцис (nartsys),ቢጫ አበባ (bi-chaa ʾa-ba-baa),,нарцис,narcis,narciso,Żonkil,o narcisă,1020,180
9,a daisy,una margarita,une marguerite,雛菊,ein Gänseblümchen,ひな菊 (HinaKiku),una margherita,een madeliefje,маргаритка (margaritka),uma margarida,데이지,μια μαργαρίτα,الإقحوان,חיננית,เดซี่,,டெய்சி,गुलबहार,isang daisy,en tusensköna,en tusenfryd,papatya,päivänkakkara,گل آفتاب‌گردان,en marguerit,bunga aster,sedmikráska,margaréta,маргарытка,маргаритка (marharytka),,,маргаритка,tratinčica,lekanto,Stokrotka,o margaretă,1020,250
10,a dandelion,un diente de león,un pissenlit,蒲公英,ein Löwenzahn,たんぽぽ (Tanpopo),un tarassaco,een paardenbloem,одуванчик (oduvanchik),um dente de leão,민들레,μια πικραλίδα,الهندباء,שן-הארי,แดนดิไลออน,taraxacum,சீமைக்காட்டு முள்ளங்கி,डेन्डेलियन,isang dandelyon,en maskros,en løvetann,karahindiba,voikukka,قاصدک,en mælkebøtte,bunga dandelion,pampeliška,pitypang,дзьмухавец,кульбаба (kul'baba),,,глухарче,maslačak,leontodo,"Dmuchawiec, mniszek lekarski",o păpădie,1020,280
11,a fir,un abeto,un sapin,樅樹,eine Tanne,モミ (Momi),un abete,een spar,ель (el'),um abeto,전나무,ένα έλατο,التنّوب,אשוח,ต้นสนเฟอร์,pinus,தேவதாரு,देवदार,isang pir,En gran,en gran,köknar,pihta,صنوبر,en gran,pohon cemara,jedle,fenyőfa,елка,ялина (jalyna),,,ела,jela,abio,Jodła,un pin,1020,350
12,a flower,una flor,une fleur,花,eine Blume,花 (Hana),un fiore,een bloem,цветок (tsvetok),uma flor,꽃,ένα λουλούδι,الزهرة,פרח,ดอกไม้,flos,மலர்,फूल,isang bulaklak,en blomma,en blomst,çiçek,kukka,گل,en blomst,bunga,květina,virág,кветка,квітка (kvіtka),አበባ (ʾa-ba-baa),maua,цвете,cvijet,floro,Kwiat,o floare,1020,110
13,a geranium,un geranio,un géranium,天竺葵,eine Geranie,ゼラニウム (Zeraniumu),un geranio,een geranium,герань (geran'),um gerânio,제랴늄,ένα γεράνι,المسك,גרניום,เจอเรเนียม,,ஜெரேனியம்,कषायमूल,isang geranyum,en pelargon,en pelargon,sardunya,pelargonia,گل شمعدانی,en geranie,bunga geranium,muškát,muskátli,герань,герань (heran'),,,здравец,pelargonija,geranio,Geranium,o mușcată,1020,270
14,a linden,un tilo,un tilleul,菩提樹,eine Linde (ein Lindenbaum),菩提樹 (Bodaiju),un tiglio,een lindeboom,липа (lipa),uma tília,보리수나무,,شجرة الزيزفون,טיליה,ต้นลินเด็น,philyra,எலுமிச்சை மரம்,नींबू का पेड़,isang Linden,en lind,et lindetre,ıhlamur ağacı,lehmus,زیرفون,en lind,pohon limau,lípa,hársfa,ліпа,липа (lypa),,,липа,lipa,tilio,Lipa,un tei,1020,440
15,a lotus,un neñufar,un lotus,蓮花,eine Lotusblume,蓮 (Hasu),un loto,een lotusbloem,лилия (lilija),uma lótus,연꽃,ένας λωτός,اللوتس,לוטוס,บัว,lotus,தாமரை,कमल,isang lotus,en lotus,en lotus,nilüfer,lootus,نیلوفر آبی,en lotus,teratai,lotos,lótusz,лілея,лілія (lіlіja),,,лилия,lotus,lotuso,Lotos,un lotus,1020,400
16,a maple,un arce,un érable,楓樹,ein Ahorn,カエデ (Kaede),un acero,een esdoorn,клён (klёn),um bordo,단풍나무,ένας σφένδαμνος,القيقب,אדר,ต้นเมเปิ้ล,acer,மாப்பிள்,,isang maple,en lönn,en lønn,akçaağaç,vaahtera,افرا,en ahorn,pohon acer,javor,juharfa,клён,клен (klen),,,клен,javor,acero,Klon,un arțar,1020,320
17,a palm tree,una palmera,un palmier,棕櫚樹,eine Palme,椰子の木 (YashiNoKi),un palma,een palmboom,пальма (pal'ma),uma palmeira,야자나무,μια φοινικιά,النخلة,עץ תמר,ต้นปาล์ม,palmetum,பனை மரம்,ताड़,isang puno ng palma,ett palmträd,et palmetre,palmiye,palmu,درخت نخل,en palme,pohon palem,palma,pálmafa,пальма,пальма (pal'ma),ዘምባባ (za-me-baa-baa),banda,палма,palma,palmo,Palma,un palmier,1020,340
18,a petal,un pétalo,un pétale,花瓣,ein Blütenblatt,花弁 (Kaben),un petalo,een bloemblad,пестик (pestik),uma pétala,꽃잎,ένα πέταλο,الورقة التويجية,עלה-כותרת בפרח,กลีบ,,இதழ்,पंखुड़ी,isang talulot,ett kronblad,et kronblad,çiçek yaprağı,terälehti,گلبرگ,et blomsterblad,sehelai daun bunga,okvětní lístek,szirom,песцік,маточка (matochka),ቀንበጥ (qa-ne-ba-the),,венчелистче,latica,petalo,Płatek,o petală,1020,200
19,a pine,un pino,un pin,松樹,eine Kiefer,松 (Matsu),un pino,een pijnboom,сосна (sosna),um pinheiro,소나무,ένα πεύκο,الصنوبر,אורן,ต้นสน,pinetum,தேவதாரு,चीड़,isang pino,ett furuträd,et furutre,çam ağacı,mänty,کاج,en fyr,pohon pinus,borovice,erdei fenyő,сасна,сосна (sosna),ጥድ (the-de),msonobari,бор,bor,pino,Sosna,un pin,1020,410
20,a poplar,un álamo,un peuplier,楊樹,eine Pappel,ポプラ (Popura),un pioppo,een populier,тополь (topol'),um álamo,포플라나무,μια λεύκα,شجرة الحور,צפצפה,ต้นป็อปลาร์,,நெட்டிலிங்கம்,पहाड़ी पीपल,isang poplar,en poppel,en poppel,kavak,poppeli,سپیدار,en poppel,pohon poplar,topol,nyárfa,таполя,тополя (topolja),,,топола,topola,poplo,Topola,un plop,1020,360
21,a poppy,una amapola,un coquelicot,罌粟,ein Mohn (eine Mohnblume),けし (Keshi),un papavero,een klaproos,мак (mak),uma papoula,양귀비,μια παπαρούνα,الخشخاش,פרג,ป็อปปี้,papaver,கசகசா,पोस्त,isang amapola,en vallmo,en valmue,gelincik,unikko,خشخاش,en valmue,bunga candu,vlčí mák,pipacs,мак,мак (mak),,mbaruti,мак,mak,papaveto,Mak,un mac,1020,240
22,a rose,una rosa,une rose,玫瑰花,eine Rose,バラ (Bara),una rosa,een roos,роза (roza),uma rosa,장미,ένα τριαντάφυλλο,الوردة,ורד,กุหลาบ,rosa,ரோஜா,गुलाब,isang rosas,en ros,en rose,gül,ruusu,گل رز,en rose,bunga mawar,růže,rózsa,ружа,троянда (trojanda),ጽጌረዳ (tse-gee-ra-daa),waridi,роза,ruža,rozo,Róża,un trandafir,1020,150
23,a rowan,un serbal,un sorbier,花楸,ein Vogelbeerbaum,ナナカマド (Nanakamado),un sorbo,een lijsterbes,рябина (rjabina),uma sorveira,마가목,μια σορβιά,السمَّن,מילת-הרם,ต้นโรวัน,,ரோவன்,,isang ropan,en rönn,en rogn,üvez ağacı,pihlaja,سمان کوهی,en røn,pohon rowan,jeřáb,vörös berkenye,рабіна,горобина (horobyna),,,офика,jarebika,sorparbo,Jarzębina,scoruș de munte; sorb,1020,450
24,a snowdrop,una campanilla de invierno,un perce-neige,雪花,ein Schneeglöckchen,ユキノハナ (Yukinohana),un bucaneve,een sneeuwklokje,подснежник (podsnezhnik),uma campainha branca,아네모네,,زهرة الثلج,שלגייה,สโนว์ดรอป,galanthus,பனித் துளி,ओस-बूंद,isang snowdrop,en snödroppe,en snøklokke,kardelen,lumikello,گل حسرت,en vintergæk,bunga tetes salju,sněženka,hópehely,пралеска,підсніжник (pіdsnіzhnyk),በክረምት የሚበቅል ነጭ አበባ (ba-ke-ra-me-te ya-mi-ba-qe-le na-che ʾa-ba-baa),,кокиче,visibaba,galanto,Przebiśnieg,un fulg de nea,1020,210
25,a stem,un tallo,une queue,莖,ein Stängel,軸 (Jiku),un gambo,een stengel,стебель (stebel'),um caule,줄기,ένας μίσχος,الجذع,גזע,ก้าน,culmus,தண்டு,डंडी,isang sanga,en stam,en stilk,sap,varsi,ساقه,en stængel,batang,stonek,törzs,сцябло,стебло (steblo),ግንድ (ge-ne-de),bua,стебло,stabljika,trunketo,Łodyga,"o codiță, o tulpină",1020,190
26,a thorn,una espina,une épine,刺,ein Dorn,刺 (Toge),una spina,een doorn,колючка (koljuchka),um espinho,가시,ένα αγκάθι,الشوكة,קוץ,ต้นไม้ที่มีหนาม,spina,முள்,कांटा,isang tinik,en tagg,en torn,diken,piikki,خار,en torn,semak berduri,trn,"tövis, tüske",калючка,колючка (koljuchka),እሾህ (ʾe-sho-he),mwiba,трън,trn,dorno,Kolec,un spin,1020,330
27,a tree,un árbol,un arbre,樹木,ein Baum,木 (Ki),un albero,een boom,дерево (derevo),uma árvore,나무,ένα δέντρο,الشجرة,עץ,ต้นไม้,arbor,மரம்,पेड़,isang puno,ett träd,et tre,ağaç,puu,درخت,et træ,pohon,strom,fa,дрэва,дерево (derevo),ዛፍ (zaa-fe),mti,дърво,drvo,arbo,Drzewo,un copac,1020,160
28,a tulip,un tulipán,une tulipe,鬱金香,eine Tulpe,チューリップ (Chu^rippu),un tulipano,een tulp,тюльпан (tjul'pan),uma tulipa,튤립,μια τουλίπα,الزنبق,צבעוני,ทิวลิป,tulipa,துளிப்பூ,ट्यूलिप,isang tulip,en tulpan,en tulipan,lale,tulppaani,لاله,en tulipan,bunga tulip,tulipán,tulipán,цюльпан,тюльпан (tjul'pan),,mtakawa,лале,tulipan,tulipo,Tulipan,o lalea,1020,170
29,a violet,una violeta,une violette,紫羅蘭,ein Veilchen,すみれ (Sumire),una violetta,een viooltje,фиалка (fialka),uma violeta,제비꽃,μια βιολέτα,البنفسج,סיגלית,ไวโอเล็ต,viola,ஊதாப்பூ,बनफशा,isang biyoleta,en viol,en fiol,menekşe,orvokki,بنفشه,en viol,bunga viola,fialka,ibolya,фіялка,фіалка (fіalka),,urujuwani,теменужка,ljubičica,violo,Fiołek,o violetă,1020,260
30,a willow,un sauce,un saule,柳樹,eine Weide,柳 (Yanagi),un salice,een wilg,ива (iva),um salgueiro,버드나무,μια ιτιά,الصفصاف,עץ ערבה,ต้นวิลโลว์,salix,வில்லோ,,isang wilow,en pil,en pil,söğüt,paju,درخت بید,en pil,pohon dedalu,vrba,fűzfa,вярба,верба (verba),,,върба,vrba,saliko,Wierzba,o salcie,1020,370
31,an ash tree,un fresno,un frêne,蒼白的樹木,eine Esche,灰の木 (HaiNoKi),un frassino,een es,ясень (jasen'),um freixo,물푸레나무,φράξος,شجرة رمادية,שיח,ต้นแอช,ornus,சாம்பல் மரம்,,isang puno ng ash,en ask,en ask,dişbudak ağacı,saarni,درخت زبان گنجشک,en ask,pohon abu,jasan,kőrisfa,ясень,ясен (jasen),,,ясен,jasen,frakseno,Jesion,frasin,1020,430
32,an iris,un lirio,un iris,鳶尾花,eine Schwertlilie,アイリス (Airisu),un iris,een iris,ирис (iris),uma íris,붓꽃,μια ίριδα,سوسن,איריס,ไอริซ,iris,கருவிழி,इन्द्र-धनुष,isang liryo,en svärdslilja,en sverdlilje,iris,iiris,زنبق,en sværdlilje,bunga iris,kosatec,nőszirom,ірыс,ірис (іrys),,,перуника,iris,irido,Irys,un iris,1020,220
33,an oak,un roble,un chêne,橡樹,eine Eiche,樫 (Kashi),una quercia,een eik,дуб (dub),um carvalho,떡갈나무,μια βαλανιδιά,بلوط,אלון,โอ๊ก,robus,கருவாலி மரம்,बलूत,isang robles,en ek,ei eik,meşe,tammi,بلوط,en eg,pohon ek,dub,tölgyfa,дуб,дуб (dub),ባሉጥ (baa-lu-the),,дъб,hrast,kverko,Dąb,un stejar,1020,300
34,seaweed,algas marinas,algue,海草,der Seetang,海草 (Kaisou),alga,zeewier,водоросли (vodorosli),algas marinhas,해조류,φύκι,العُشْب البحري,עשב ים,สาหร่าย,alga,கடற்பாசி,समुद्री शैवाल,damong dagat,tång,tang,yosun,merilevä,جلبک دریایی,tang,rumput laut,mořská řasa,alga,водарасці,водорості (vodorostі),,,водорасло,morska trava,algo,Wodorosty,alge,1020,380
35,to plant,plantar,planter,植物,pflanzen,植物を植える (ShokubutsuWoUeRu),piantare,planten,сажать (sazhat'),plantar,심다,φυτεύω,للزِراعَة,לשתול,ปลูก,insero,நடுதல்,पौधा,magtanim,att plantera,å plante,ekmek,istuttaa,کاشتن گیاه,at plante,menanam,pěstovat,ültetni,саджаць,саджати (sadzhaty),አትክልት (ʾa-te-ke-le-te),kupanda,садя,posaditi,planti,Sadzić,a planta,1020,140
0,a beard,una barba,une barbe,胡子,ein Bart,あごひげ (Agohige),una barba,een baard,борода (boroda),barba,수염,μια γενειάδα,اللحية,זקן,เครา,barba,தாடி,दाढ़ी,balbas,ett skägg,et skjegg,sakal,parta,ریش,et skæg,janggut,vousy,szakáll,барада,борода (boroda),ሪዝ (ri-ze),ndeve,брада,brada,barbo,Broda,o barbă,1030,310
1,a breast,un pecho,une poitrine,胸,eine Brust,胸 (Mune),un petto,een borst,грудь (grud'),um peito,가슴,ένα στήθος,الصدر,שד,หน้าอก,uber,மார்பகம்,स्तन,isang suso,ett bröst,et bryst,göğüs,rinta,سینه,et bryst,payudara,hrudník,mell,грудзі,груди (hrudy),ጡት (thu-te),titi,гърда,dojka,brusto,Klatka piersiowa,un sân,1030,410
2,a brow,una ceja,un sourcil,眉,eine Augenbraue,まゆ (Mayu),un sopracciglio,een wenkbrauw,бровь (brov'),uma sobrancelha,이마,ένα φρύδι,الحاجب,גבה,ขนคิ้ว,frons,புருவம்,भौंह,,ett ögonbryn,et øyebryn,kaş,kulmakarva,ابرو,et bryn,alis,obočí,szemöldök,брыво,брова (brova),ቅንድብ (qe-ne-de-be),kipaji,вежда,obrva,brovo,Brew,o sprânceana,1030,400
3,a cheek,una mejilla,une joue,頰,eine Wange,ほお (Hoo),una guancia,een wang,щека (shcheka),uma bochecha,뺨,ένα μάγουλο,الخدّ,לח,แก้ม,bucca,கன்னம்,गाल,isang pisngi,en kind,et kinn,yanak,poski,گونه,en kind,pipi,tvář,orca,шчака,щока (shchoka),ጉንጭ (gu-ne-che),shavu,буза,obraz,vango,Policzek,un obraz,1030,490
4,a chin,una barbilla,un menton,下巴,ein Kinn,顎 (Ago),un mento,een kin,подбородок (podborodok),um queixo,턱,ένα πηγούνι,الذقن,סנטר,คาง,mentum,முகவாய்க்கட்டை,ठुड्डी,isang baba,en haka,en hake,çene,leuka,چانه,en hage,dagu,brada,áll,падбароддзе,підборіддя (pіdborіddja),አገጭ (ʾa-ga-che),kidevu,брадичка,brada,mentono,"Broda, podbródek",o bărbie,1030,470
5,a face,una cara,un visage,臉,ein Gesicht,顔 (Kao),una faccia,een gezicht,лицо (litso),uma cara,얼굴,ένα πρόσωπο,الوجه,פנים,ใบหน้า,vultus,முகம்,चेहरा,isang mukha,ett ansikte,et ansikt,yüz,kasvot,صورت,et ansigt,wajah,obličej,arc,твар,обличчя (oblychchja),ፊት (fi-te),uso,лице,lice,vizaĝo,Twarz,o față,1030,280
